,bay_top1,bay_top2,bay_top3,gnt_top1,gnt_top2,gnt_top3,match
188,1,3,4,0,4,3,False
189,2,1,4,4,1,3,False
190,0,2,1,4,1,3,False
191,0,1,2,3,4,0,False
192,1,2,3,0,1,2,False
193,0,1,2,0,3,4,False
194,0,1,2,4,3,0,False
195,3,0,1,3,4,0,False
196,0,1,2,4,3,0,False
197,3,1,2,4,3,0,False
198,0,1,2,3,4,0,False
199,1,3,4,0,4,1,False
200,1,3,4,0,4,3,False
201,1,2,0,0,4,2,False
202,0,1,2,4,3,0,False
203,0,1,2,0,4,3,False
204,2,0,1,4,3,0,False
205,0,3,1,4,3,0,False
206,0,1,2,0,4,3,False
207,1,2,3,0,3,4,False
208,1,2,3,4,0,3,False
209,1,2,3,3,4,0,False
210,0,1,2,0,4,3,False
211,0,1,2,4,3,2,False
212,2,4,0,4,3,0,False
213,0,1,2,4,3,1,False
214,0,1,4,0,3,4,False
215,1,3,4,0,4,3,False
216,0,2,1,4,0,1,False
217,0,1,2,4,3,0,False
218,0,1,2,4,0,3,False
219,0,1,2,3,1,4,False
220,0,1,2,0,4,1,False
221,0,1,2,0,4,3,False
222,1,0,2,3,4,0,False
223,1,2,4,0,3,4,False
224,0,1,2,4,0,3,False
225,3,1,2,0,3,4,False
226,1,2,3,4,3,0,False
227,3,0,1,0,4,1,False
228,0,1,2,3,0,4,False
229,1,3,4,0,3,4,False
230,0,1,2,4,0,3,False
231,1,2,4,3,1,0,False
232,0,2,1,1,4,0,False
233,0,1,2,0,4,3,False
234,4,1,3,0,4,3,False
235,1,2,3,4,0,3,False
236,0,2,1,4,3,0,False
237,2,4,0,4,1,3,False
238,0,1,2,0,2,4,False
239,1,3,4,0,3,2,False
240,3,2,0,0,3,4,False
241,0,1,2,0,4,3,False
242,3,1,0,4,1,3,False
243,1,2,3,4,3,0,False
244,1,2,3,3,0,1,False
245,0,1,2,3,4,0,False
246,0,2,1,4,0,3,False
247,2,4,0,4,0,1,False
248,0,1,2,4,0,1,False
249,1,0,2,3,4,0,False
250,2,1,3,4,0,1,False
251,1,3,4,0,4,3,False
252,2,4,0,4,3,1,False
253,0,3,4,4,0,3,True
254,0,1,2,4,0,3,False
255,0,1,2,3,4,0,False
256,1,0,2,1,0,3,False
257,0,2,4,4,0,1,False
258,2,3,1,4,0,3,False
259,3,0,1,4,0,3,False
260,0,1,2,3,1,0,False
261,1,2,3,0,4,3,False
262,1,3,4,0,3,4,False
263,3,0,4,4,3,0,True
264,1,2,3,0,3,1,False
265,0,1,2,3,4,0,False
266,1,2,4,3,1,0,False
267,0,1,2,4,0,3,False
268,0,1,2,3,4,0,False
269,0,1,2,0,4,3,False
270,0,1,4,0,4,1,True
271,0,1,2,4,3,0,False
272,0,1,2,0,4,3,False
273,1,3,4,0,4,3,False
274,3,0,1,4,3,0,False
275,2,3,0,4,0,3,False
276,0,1,2,3,4,1,False
277,0,1,2,4,3,1,False
278,1,2,3,4,0,3,False
279,0,1,2,3,0,4,False
280,1,2,3,0,4,3,False
281,0,4,3,4,2,0,False
282,0,1,2,4,3,0,False
283,0,1,2,4,3,0,False
284,0,1,2,4,3,1,False
285,4,1,3,0,4,3,False
286,2,4,3,4,3,0,False
287,2,0,1,0,2,3,False
288,2,1,0,3,2,0,False
289,1,0,2,0,3,4,False
290,3,1,2,0,3,4,False
291,0,2,1,0,4,3,False
292,2,1,4,4,0,3,False
293,0,3,1,4,3,0,False
294,1,4,3,0,3,4,False
295,1,2,4,0,4,1,False
296,3,1,2,3,4,0,False
297,0,2,1,4,0,3,False
298,0,1,2,0,3,4,False
299,1,0,2,0,2,3,False
300,1,2,3,4,0,3,False
301,0,1,2,4,1,3,False
302,1,2,0,3,0,4,False
303,0,1,2,0,4,2,False
304,0,1,2,4,3,0,False
305,0,1,2,3,4,0,False
306,0,2,1,4,1,0,False
307,0,1,2,3,4,0,False
308,1,2,0,3,4,0,False
309,1,2,3,0,3,1,False
310,1,3,4,0,4,3,False
311,2,0,1,4,0,3,False
312,2,0,1,0,4,3,False
313,3,4,0,4,0,3,True
314,0,1,2,0,3,4,False
315,2,4,0,4,3,1,False
316,0,1,2,4,3,0,False
317,1,2,3,4,1,0,False
318,0,1,2,4,3,2,False
319,2,0,1,3,4,0,False
320,0,2,1,4,0,1,False
321,0,1,2,3,0,1,False
322,1,3,4,0,1,3,False
323,0,2,1,4,3,0,False
324,2,0,1,4,0,1,False
325,0,1,2,0,3,4,False
326,0,1,2,4,0,1,False
327,2,4,0,3,4,1,False
328,1,2,4,4,1,0,False
329,2,4,1,0,2,1,False
330,0,1,2,0,4,3,False
331,0,1,2,3,4,0,False
332,0,1,2,4,3,0,False
333,1,2,3,4,0,3,False
334,1,2,0,4,1,0,False
335,0,1,2,4,1,3,False
336,0,1,2,3,0,4,False
337,0,1,2,3,4,0,False
338,1,2,3,3,0,1,False
339,1,3,4,0,4,3,False
340,1,2,3,3,1,4,False
341,1,2,3,4,1,3,False
342,0,1,2,0,4,3,False
343,0,1,2,4,3,0,False
344,0,2,1,4,3,0,False
345,3,0,1,4,1,3,False
346,3,0,1,3,0,4,False
347,0,1,2,0,4,3,False
348,0,1,2,3,0,2,False
349,1,3,4,4,3,0,False
350,1,3,4,0,4,3,False
351,0,1,2,4,3,0,False
352,2,4,0,3,4,0,False
353,0,1,2,4,0,2,False
354,0,1,2,0,4,3,False
355,0,1,2,4,3,0,False
356,2,1,3,0,3,4,False
357,2,1,4,4,0,3,False
358,0,1,2,3,0,4,False
359,0,3,1,4,0,3,False
360,1,2,3,0,3,4,False
361,2,1,3,0,3,2,False
362,0,1,2,4,3,0,False
363,2,0,1,4,3,0,False
364,2,0,1,4,3,0,False
365,0,1,2,0,4,3,False
366,2,1,3,4,3,0,False
367,3,0,1,4,3,0,False
368,0,1,2,4,3,0,False
369,0,1,2,4,3,1,False
370,2,0,1,3,4,0,False
371,0,1,2,3,4,0,False
372,3,2,1,4,0,3,False
373,0,2,1,4,0,1,False
374,0,1,2,4,0,3,False
375,1,2,3,3,0,4,False
376,2,0,1,0,4,3,False
377,1,2,3,0,4,3,False
378,3,0,1,3,0,4,False
379,0,1,2,3,4,0,False
380,3,0,1,4,3,0,False
381,0,1,2,4,0,3,False
382,2,0,1,3,4,0,False
383,0,1,2,3,0,4,False
384,0,1,2,4,1,3,False
385,1,0,2,4,0,1,False
386,0,1,2,4,3,0,False
387,0,1,2,4,0,3,False
388,0,1,2,0,3,4,False
389,0,1,2,4,0,1,False
390,0,1,2,4,3,0,False
391,0,3,4,4,0,3,True
392,0,2,3,4,3,0,False
393,1,0,2,4,0,3,False
394,0,1,2,3,4,1,False
395,1,3,4,0,4,3,False
396,1,2,3,0,1,4,False
397,0,1,2,0,4,3,False
398,0,1,2,4,3,0,False
399,1,2,3,4,0,3,False
400,1,2,4,0,4,3,False
401,0,1,2,0,1,4,False
402,0,1,2,4,3,0,False
403,0,2,1,4,0,3,False
404,2,1,3,4,1,0,False
405,0,1,2,3,4,0,False
406,2,1,4,0,3,4,False
407,0,2,1,3,4,0,False
408,1,3,4,0,4,3,False
409,1,2,3,4,0,3,False
410,0,2,3,4,0,3,False
411,1,2,3,4,3,0,False
412,3,0,1,4,1,0,False
413,0,1,2,3,4,0,False
414,0,2,3,4,0,3,False
415,0,1,2,0,4,3,False
416,0,1,2,3,4,0,False
417,0,1,2,4,3,0,False
418,1,2,3,0,3,1,False
419,1,2,0,3,1,0,False
420,2,0,1,4,3,0,False
421,1,2,3,0,3,4,False
422,0,3,4,4,0,1,False
423,2,4,0,4,3,0,False
424,1,3,0,4,1,0,False
425,0,3,1,4,3,0,False
426,1,2,3,0,4,3,False
427,0,2,3,4,0,3,False
428,1,2,3,4,3,0,False
429,0,1,2,4,3,0,False
430,1,3,4,0,3,4,False
431,3,1,2,3,4,0,False
432,0,1,2,3,2,4,False
433,1,3,4,0,3,1,False
434,4,3,0,4,3,0,True
435,3,0,1,3,4,0,False
436,0,1,2,0,4,3,False
437,2,0,1,3,4,0,False
438,2,4,0,4,0,3,False
439,0,1,3,0,4,3,False
440,0,1,2,0,4,2,False
441,3,1,2,3,4,0,False
442,0,1,2,4,0,3,False
443,0,1,2,4,1,0,False
444,2,4,0,4,0,3,False
445,0,1,2,4,3,0,False
446,1,2,3,4,3,0,False
447,0,1,2,0,2,3,False
448,1,3,4,0,4,3,False
449,0,3,4,4,3,0,True
450,0,1,2,4,3,0,False
451,0,1,2,4,3,0,False
452,0,1,2,4,0,1,False
453,4,3,1,4,0,1,False
454,0,1,2,4,3,0,False
455,4,0,2,3,0,4,False
456,1,2,4,3,4,0,False
457,1,3,4,0,3,4,False
458,0,1,2,4,0,3,False
459,0,1,2,4,3,0,False
460,0,1,2,4,1,0,False
461,1,2,3,0,4,3,False
462,0,3,1,4,3,0,False
463,0,1,2,4,0,3,False
464,2,0,1,0,4,3,False
465,4,1,2,3,4,0,False
466,1,2,3,0,3,1,False
467,1,2,0,0,3,4,False
468,2,1,3,0,3,4,False
469,0,1,2,4,0,1,False
470,0,3,1,4,0,3,False
471,1,2,3,3,0,4,False
472,1,0,2,4,0,3,False
473,2,0,1,4,0,3,False
474,0,1,2,0,4,3,False
475,4,1,3,0,4,1,False
476,1,3,4,0,3,4,False
477,3,0,1,4,1,3,False
478,1,3,4,0,4,3,False
479,0,1,2,0,3,1,False
480,0,1,2,0,3,4,False
481,0,1,2,4,3,0,False
482,0,1,2,4,0,1,False
483,0,1,2,3,0,1,False
484,3,0,1,4,0,3,False
485,2,0,1,4,0,3,False
486,1,4,3,4,1,0,False
487,1,2,3,0,1,3,False
488,4,1,3,0,3,4,False
489,0,1,2,4,3,0,False
490,0,1,2,3,4,0,False
491,0,3,4,4,3,0,True
492,2,4,1,4,0,3,False
493,3,0,1,0,4,3,False
494,1,2,3,0,4,1,False
495,0,1,2,4,3,0,False
496,2,4,0,4,3,1,False
497,0,2,4,3,4,0,False
498,1,2,3,0,4,3,False
499,1,3,4,3,0,4,False
500,0,1,2,4,0,3,False
501,1,3,4,0,3,1,False
502,1,2,3,0,4,3,False
503,1,2,3,4,3,0,False
504,0,1,2,0,4,3,False
505,1,3,4,4,0,3,False
506,2,4,0,4,1,3,False
507,0,1,2,0,4,1,False
508,0,1,2,4,3,0,False
509,0,1,2,4,0,3,False
510,0,3,1,4,3,0,False
511,0,1,2,4,0,3,False
512,2,4,0,4,0,3,False
513,0,1,2,4,3,2,False
514,0,3,4,4,0,3,True
515,0,1,2,3,4,0,False
516,0,3,2,4,3,0,False
517,1,4,0,0,3,4,False
518,1,2,4,4,3,0,False
519,3,0,1,3,4,0,False
520,3,1,0,4,3,0,False
521,0,2,3,3,4,0,False
522,0,1,2,3,0,4,False
523,0,1,2,4,3,2,False
524,1,4,3,0,3,4,False
525,4,1,2,4,3,0,False
526,0,1,2,3,4,0,False
527,1,2,3,4,1,0,False
528,0,1,2,3,4,0,False
529,0,1,2,4,3,0,False
530,0,3,1,4,3,0,False
531,0,1,2,3,0,4,False
532,1,3,4,0,4,3,False
533,2,4,1,4,3,0,False
534,1,0,2,4,3,0,False
535,1,3,4,0,4,3,False
536,1,2,3,0,1,4,False
537,1,2,4,0,4,3,False
538,2,0,1,4,3,0,False
539,1,2,0,3,0,4,False
540,0,1,2,0,4,3,False
541,0,1,2,3,4,2,False
542,0,1,2,4,0,1,False
543,2,3,4,3,4,0,False
544,0,1,2,4,0,3,False
545,0,1,2,4,0,3,False
546,0,1,2,3,4,1,False
547,0,1,2,4,1,3,False
548,3,0,1,0,4,3,False
549,0,1,2,4,1,0,False
550,0,1,2,4,3,0,False
551,2,4,0,4,0,3,False
552,1,2,3,0,4,3,False
553,0,1,2,3,0,4,False
554,0,1,2,0,4,3,False
555,0,1,2,3,4,1,False
556,0,1,2,4,1,3,False
557,1,3,4,4,0,3,False
558,2,3,1,4,1,0,False
559,0,3,4,4,1,3,False
560,0,1,2,4,1,0,False
561,0,2,1,4,0,3,False
562,0,1,2,0,4,3,False
563,0,1,2,4,3,0,False
564,0,2,1,4,3,0,False
565,2,0,1,4,3,0,False
566,0,1,2,3,4,0,False
567,0,3,1,4,3,0,False
568,3,2,0,4,0,3,False
569,0,4,1,0,4,3,False
570,0,1,2,3,4,0,False
571,4,1,2,4,0,3,False
572,1,0,2,3,0,4,False
573,2,0,1,4,0,3,False
574,0,1,4,0,3,4,False
575,0,1,2,4,1,3,False
576,1,2,3,4,3,0,False
577,0,1,2,4,3,0,False
578,1,3,4,0,4,3,False
579,0,1,2,4,1,3,False
580,3,0,1,4,3,0,False
581,0,1,2,4,0,3,False
582,1,3,0,3,0,1,True
583,1,3,4,3,0,2,False
584,1,2,3,3,4,0,False
585,2,4,0,4,0,3,False
586,0,1,2,0,3,4,False
587,0,1,2,4,3,1,False
588,0,1,2,0,1,4,False
589,4,1,2,0,4,3,False
590,0,1,2,0,1,4,False
591,1,2,3,3,1,0,False
592,2,4,0,4,3,0,False
593,0,1,2,4,3,0,False
594,4,1,3,0,3,1,False
595,0,1,2,4,3,0,False
596,1,2,3,0,3,4,False
597,1,3,4,0,3,4,False
598,0,1,2,0,4,3,False
599,0,1,2,0,4,3,False
600,0,1,2,0,4,3,False
601,0,1,2,4,3,0,False
602,0,1,2,4,1,3,False
603,0,1,2,4,1,0,False
604,0,1,2,4,0,3,False
605,2,0,1,4,3,1,False
606,1,2,4,3,4,0,False
607,0,1,2,0,4,3,False
608,0,1,2,3,4,0,False
609,0,1,2,0,4,3,False
610,2,3,0,0,1,4,False
611,0,1,2,4,3,0,False
612,3,0,1,3,4,0,False
613,0,1,2,4,0,3,False
614,2,4,0,4,0,3,False
615,0,1,2,4,3,0,False
616,0,1,2,3,4,0,False
617,2,4,0,4,3,0,False
618,0,1,2,4,3,0,False
619,1,2,3,0,4,3,False
620,0,1,2,4,3,0,False
621,1,2,3,0,3,4,False
622,0,1,2,3,4,1,False
623,1,2,4,3,4,0,False
624,1,2,0,4,3,0,False
625,2,1,3,0,3,4,False
626,0,1,2,0,1,4,False
627,0,3,1,4,0,3,False
628,1,2,3,0,4,3,False
629,0,1,2,4,1,3,False
630,0,1,2,3,4,0,False
631,0,1,2,4,0,1,False
632,4,1,0,3,0,4,False
633,0,1,2,4,1,3,False
634,4,3,1,0,3,4,False
635,0,1,2,4,3,2,False
636,1,2,3,3,4,1,False
637,2,0,1,4,1,0,False
638,0,2,1,4,0,3,False
639,3,0,1,4,0,3,False
640,1,0,2,4,0,3,False
641,2,0,1,0,4,3,False
642,0,3,2,4,3,0,False
643,0,1,2,0,3,1,False
644,0,1,2,4,3,0,False
645,4,0,1,0,3,4,False
646,2,0,1,0,1,4,False
647,2,0,1,4,3,1,False
648,0,1,2,3,4,0,False
649,1,3,4,0,4,3,False
650,1,3,4,4,0,3,False
651,1,2,3,4,1,0,False
652,0,1,2,4,0,3,False
653,1,2,3,0,3,4,False
654,0,1,2,4,3,0,False
655,0,1,2,4,0,3,False
656,0,1,2,4,3,0,False
657,1,2,3,1,3,0,False
658,0,1,2,3,0,4,False
659,0,1,2,4,1,3,False
660,1,2,0,3,1,4,False
661,1,0,3,4,1,0,False
662,0,1,2,3,0,1,False
663,2,0,1,4,3,0,False
664,1,2,4,0,4,3,False
665,0,1,2,4,3,0,False
666,0,1,2,4,0,1,False
667,0,1,2,0,1,3,False
668,0,1,2,0,4,1,False
669,3,2,4,4,0,3,False
670,0,1,2,4,0,3,False
671,0,4,1,0,4,2,False
672,1,2,0,4,1,2,False
673,1,3,4,4,3,0,False
674,3,0,2,3,4,0,False
675,0,1,2,4,3,0,False
676,0,1,2,4,3,0,False
677,0,1,2,3,0,1,False
678,3,0,1,3,4,0,False
679,0,1,2,4,0,3,False
680,0,1,2,3,4,0,False
681,1,2,3,0,4,3,False
682,1,2,4,0,4,3,False
683,2,0,3,0,4,3,False
684,0,1,2,3,0,1,False
685,0,4,1,4,3,0,False
686,1,0,2,3,4,1,False
687,2,3,4,4,3,0,False
688,0,1,2,3,0,1,False
689,1,2,3,0,4,3,False
690,1,2,4,0,3,4,False
691,0,1,2,0,4,3,False
692,3,2,1,4,0,3,False
693,0,1,2,3,4,0,False
694,0,1,2,4,2,0,False
695,2,0,1,3,4,0,False
696,2,4,0,0,3,4,False
697,0,1,2,3,4,0,False
698,0,1,2,3,4,0,False
699,0,4,1,0,3,4,False
700,1,2,3,3,4,0,False
701,0,1,2,4,3,0,False
702,1,2,0,4,3,0,False
703,3,0,1,0,2,3,False
704,0,1,2,0,1,3,False
705,0,1,2,4,0,1,False
706,3,0,1,4,0,2,False
707,2,1,3,0,4,1,False
708,0,1,2,4,3,0,False
709,0,1,2,4,3,0,False
710,2,0,4,4,3,0,False
711,0,1,2,4,0,3,False
712,1,2,3,0,4,3,False
713,1,3,4,4,1,0,False
714,1,3,4,0,3,4,False
715,4,0,1,3,0,1,False
716,0,1,2,4,0,3,False
717,1,2,4,0,4,3,False
718,1,0,2,1,3,4,False
719,0,1,2,4,3,0,False
720,3,0,1,4,1,3,False
721,0,1,2,0,4,3,False
722,0,1,2,4,1,0,False
723,2,0,4,4,3,0,False
724,3,0,1,0,4,3,False
725,1,3,4,0,3,4,False
726,3,0,4,0,4,3,True
727,0,2,3,4,1,0,False
728,1,0,2,4,3,0,False
729,0,1,2,0,3,4,False
730,1,2,3,4,0,3,False
731,2,4,0,0,3,4,False
732,2,4,0,4,3,0,False
733,0,1,2,4,3,1,False
734,2,4,0,0,4,3,False
735,1,2,4,4,3,0,False
736,2,4,0,4,3,0,False
737,0,1,2,4,3,0,False
738,1,3,4,0,1,4,False
739,0,3,1,0,1,3,True
740,3,0,1,0,4,3,False
741,0,1,2,4,0,3,False
742,2,4,0,4,3,0,False
743,3,1,2,4,3,0,False
744,0,1,2,0,3,1,False
745,0,1,2,4,0,3,False
746,1,4,2,3,0,4,False
747,1,2,4,4,3,0,False
748,0,1,2,3,0,4,False
749,0,1,2,0,3,4,False
750,0,1,2,3,4,0,False
751,0,1,2,3,4,0,False
752,1,2,3,4,0,1,False
753,0,1,2,4,3,0,False
754,3,4,0,4,3,0,True
755,0,1,2,3,0,4,False
756,4,2,0,0,4,3,False
757,0,2,3,3,4,1,False
758,3,4,0,4,3,0,True
759,4,1,2,0,4,3,False
760,4,0,1,0,4,3,False
761,3,0,2,4,0,1,False
762,2,1,3,4,1,0,False
763,2,0,1,4,3,0,False
764,3,0,1,3,0,4,False
765,0,1,2,0,4,3,False
766,1,0,2,4,0,3,False
767,1,2,3,0,4,3,False
768,0,1,2,0,1,4,False
769,0,1,2,4,0,3,False
770,1,2,3,4,1,0,False
771,0,1,2,4,0,1,False
772,1,3,4,3,0,4,False
773,1,2,3,0,4,1,False
774,0,1,2,4,3,0,False
775,2,4,0,0,4,3,False
776,0,2,1,4,0,3,False
777,1,2,3,4,0,1,False
778,1,2,3,4,0,3,False
779,0,1,2,3,0,4,False
780,0,1,2,3,4,0,False
781,1,2,4,4,3,0,False
782,0,2,1,3,4,0,False
783,0,1,2,4,1,0,False
784,0,1,2,0,3,4,False
785,1,4,0,0,3,4,False
786,3,0,1,0,3,4,False
787,3,1,0,4,0,1,False
788,1,2,0,4,3,0,False
789,0,1,2,4,3,0,False
790,0,1,2,4,3,0,False
791,3,1,2,4,0,1,False
792,0,2,1,4,3,0,False
793,2,4,0,4,3,1,False
794,0,3,4,4,3,0,True
795,0,1,2,4,0,3,False
796,1,2,3,4,0,3,False
797,3,1,2,4,0,3,False
798,0,1,2,3,4,0,False
799,0,1,2,0,3,4,False
800,0,1,2,4,0,3,False
801,0,1,2,4,3,0,False
802,2,1,4,3,1,0,False
803,0,1,2,4,1,0,False
804,0,1,2,3,1,0,False
805,0,1,2,3,4,0,False
806,3,0,1,0,4,3,False
807,0,1,2,4,0,1,False
808,0,1,2,3,4,0,False
809,1,3,4,0,4,3,False
810,1,2,4,0,3,4,False
811,1,2,3,4,0,1,False
812,0,1,2,3,0,4,False
813,0,1,2,4,0,3,False
814,1,3,0,0,4,1,False
815,3,0,1,3,0,4,False
816,1,2,0,3,0,4,False
817,0,1,2,4,1,0,False
818,1,2,3,0,3,4,False
819,1,2,0,0,2,4,False
820,4,1,3,0,1,3,False
821,3,0,1,3,0,4,False
822,0,2,1,4,3,0,False
823,0,1,2,0,3,4,False
824,4,1,3,0,2,4,False
825,1,3,4,4,3,0,False
826,0,1,2,0,2,4,False
827,0,1,2,4,0,2,False
828,1,2,3,0,3,4,False
829,2,0,1,4,0,3,False
830,3,1,2,0,4,3,False
831,1,2,3,0,4,1,False
832,0,1,2,4,3,0,False
833,0,1,2,1,4,3,False
834,0,1,2,3,0,1,False
835,2,0,1,3,4,0,False
836,1,2,3,3,1,4,False
837,0,1,2,0,3,4,False
838,0,1,2,0,3,4,False
839,0,1,2,0,4,3,False
840,0,1,2,4,3,0,False
841,2,0,1,3,4,0,False
842,1,2,3,0,3,4,False
843,2,0,1,4,3,1,False
844,0,1,2,3,4,0,False
845,2,0,1,4,0,1,False
846,1,2,0,0,4,2,False
847,2,3,4,3,0,4,False
848,1,0,2,0,4,3,False
849,0,1,2,3,4,0,False
850,0,1,2,4,3,0,False
851,0,1,2,3,4,0,False
852,1,2,0,0,4,3,False
853,0,1,2,4,0,3,False
854,0,1,2,0,4,1,False
855,1,2,4,4,0,3,False
856,0,1,2,0,2,1,True
857,0,1,2,0,3,1,False
858,0,1,2,4,3,1,False
859,0,1,2,4,3,0,False
860,4,1,2,0,4,3,False
861,0,1,2,4,0,3,False
862,0,1,2,0,4,3,False
863,0,1,2,3,2,4,False
864,1,3,0,0,3,4,False
865,4,1,0,0,4,3,False
866,2,4,0,0,3,4,False
867,1,2,4,3,1,4,False
868,1,2,3,4,0,3,False
