,bay_top1,bay_top2,bay_top3,bay_top4,bay_top5,bay_top6,bay_top7,bay_top8,bay_top9,bay_top10,bay_top11,bay_top12,bay_top13,bay_top14,bay_top15,bay_top16,bay_top17,bay_top18,bay_top19,bay_top20,gnt_top1,gnt_top2,gnt_top3,gnt_top4,gnt_top5,gnt_top6,gnt_top7,gnt_top8,gnt_top9,gnt_top10,gnt_top11,gnt_top12,gnt_top13,gnt_top14,gnt_top15,gnt_top16,gnt_top17,gnt_top18,gnt_top19,gnt_top20,match
37,10,1,18,17,16,15,14,13,12,11,0,9,8,7,6,5,4,3,2,19,9,7,8,3,2,11,4,16,18,19,5,14,0,15,6,10,12,13,1,17,True
38,0,10,11,12,18,7,16,15,19,8,6,5,9,1,14,17,4,2,13,3,8,4,7,11,3,16,10,5,6,0,14,2,13,9,18,1,19,12,15,17,True
39,18,17,13,6,8,9,0,2,7,1,14,15,19,4,3,12,5,11,16,10,18,14,2,3,7,12,0,16,8,6,5,1,13,19,9,4,11,10,17,15,True
40,2,3,17,7,15,9,14,13,0,12,18,16,10,11,1,8,6,5,4,19,1,2,13,12,3,19,9,6,7,10,8,0,4,18,5,16,11,14,15,17,True
41,19,6,12,0,8,9,13,14,5,1,16,4,7,2,15,17,18,11,10,3,9,2,14,11,6,13,16,3,8,4,18,5,1,15,10,0,7,19,12,17,True
42,2,15,7,12,10,1,18,16,13,11,19,9,6,4,14,5,17,0,8,3,15,2,13,14,4,6,9,3,12,8,7,19,5,10,0,1,16,18,11,17,True
43,12,10,2,18,6,7,15,9,17,16,14,13,19,11,1,5,4,8,3,0,17,3,0,2,1,6,12,4,9,16,13,14,10,5,8,7,18,11,19,15,True
44,16,10,9,18,17,13,12,1,19,8,7,4,2,11,6,5,14,15,3,0,1,18,19,2,10,8,11,0,7,13,5,14,9,12,16,4,6,15,17,3,True
45,5,11,10,2,18,6,7,9,15,12,14,17,16,0,13,1,8,4,19,3,8,6,4,5,10,13,1,16,9,18,3,12,19,7,2,15,14,0,11,17,True
46,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,2,19,3,8,2,5,10,6,9,7,12,14,3,11,16,19,4,13,0,18,15,1,17,True
47,0,19,10,6,1,18,17,15,14,13,11,9,4,12,7,16,5,2,3,8,3,2,14,13,5,9,7,10,12,0,8,11,19,4,1,18,6,16,15,17,True
48,14,0,4,5,15,11,18,17,16,13,10,6,2,1,12,9,8,7,3,19,16,0,3,8,5,9,7,18,6,11,4,1,12,19,2,13,10,14,17,15,True
49,10,4,8,7,19,2,16,5,6,3,9,1,11,12,13,14,15,17,18,0,1,11,19,6,2,12,5,0,9,4,13,16,8,3,10,7,14,18,17,15,True
50,3,0,8,11,5,7,18,1,19,9,6,4,12,13,14,15,16,17,2,10,1,6,9,13,7,4,16,0,3,2,18,12,5,14,11,8,19,10,15,17,True
51,11,4,15,13,9,0,17,14,18,16,12,10,1,8,7,6,2,19,5,3,7,2,0,4,12,1,6,9,10,5,8,14,16,17,13,19,3,18,11,15,True
52,18,12,17,6,15,10,3,16,9,1,13,0,5,4,2,19,11,8,14,7,10,16,2,5,8,0,14,19,9,7,4,1,3,6,13,11,12,15,18,17,True
53,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,14,13,2,11,9,5,10,16,18,7,19,8,4,3,15,1,12,6,17,0,True
54,10,6,11,18,17,16,15,14,13,12,0,9,8,7,5,4,2,19,1,3,12,2,9,5,3,10,1,0,18,14,16,7,13,4,19,8,15,11,6,17,True
55,17,7,9,11,13,2,3,18,6,10,16,15,0,1,8,5,4,12,14,19,11,7,18,10,1,8,2,5,12,0,3,14,9,19,16,13,6,4,15,17,True
56,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,2,10,5,9,12,11,19,13,14,16,6,4,8,0,3,18,17,7,1,15,True
57,7,10,6,11,18,17,16,15,14,13,12,0,1,9,8,5,4,3,2,19,13,2,5,9,7,11,3,10,18,16,6,12,1,0,8,14,4,19,15,17,True
58,1,10,9,18,17,16,13,12,19,8,7,4,2,11,6,5,14,15,3,0,16,2,4,9,7,10,8,19,1,0,12,5,13,14,6,18,11,3,15,17,True
59,10,2,18,4,17,16,13,11,15,14,12,0,1,9,8,7,6,5,19,3,7,11,9,15,13,6,14,5,3,8,2,1,10,12,0,19,4,16,18,17,True
60,0,16,6,12,18,3,11,17,15,14,13,10,1,9,7,5,4,2,19,8,4,5,16,8,14,12,3,0,7,19,10,6,13,2,11,9,1,18,15,17,True
61,16,0,1,18,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,5,3,12,8,14,1,15,4,7,10,0,13,9,6,2,16,11,18,19,17,True
62,10,1,16,12,18,17,15,14,13,11,0,9,8,7,6,5,4,3,2,19,9,1,10,11,4,6,3,7,5,14,0,18,16,13,12,8,2,19,15,17,True
63,0,3,12,6,8,1,16,19,7,11,9,13,17,18,5,4,14,15,2,10,16,0,3,6,9,13,7,5,14,8,10,2,1,4,11,19,12,18,17,15,True
64,19,2,7,11,18,17,16,15,14,13,12,0,1,9,8,6,5,4,3,10,3,2,5,12,10,14,11,13,15,9,16,0,4,6,8,1,18,7,19,17,True
65,15,11,9,4,13,18,5,7,17,14,19,2,8,6,1,10,12,16,0,3,1,6,9,13,0,16,8,4,14,7,3,5,2,10,18,12,11,19,15,17,True
66,10,4,15,14,19,1,18,5,6,7,8,9,11,12,13,3,2,16,17,0,4,18,9,10,0,7,5,3,12,6,8,14,19,11,13,16,2,15,1,17,True
67,18,19,16,15,14,11,17,13,12,0,9,8,7,6,5,4,2,10,1,3,8,3,13,9,2,18,10,16,5,15,0,6,12,7,4,14,1,11,19,17,True
68,10,16,2,3,4,5,6,8,9,1,17,12,13,14,15,18,0,11,7,19,10,2,11,5,6,14,3,18,9,16,0,8,7,19,12,1,4,17,15,13,True
69,0,1,18,17,16,15,14,13,12,11,10,9,7,6,5,4,2,19,8,3,16,3,10,5,19,9,11,6,0,2,18,14,4,8,7,13,17,1,12,15,True
70,0,7,15,1,8,10,9,6,5,4,3,11,12,13,14,17,18,2,16,19,7,14,8,3,2,6,9,5,4,10,16,11,1,13,19,12,0,18,15,17,True
71,7,8,0,11,5,1,18,17,15,14,13,19,9,6,4,2,12,16,10,3,10,8,6,13,7,2,16,9,5,14,3,1,11,19,18,4,0,15,17,12,True
72,2,3,7,9,17,13,5,4,8,11,0,15,18,16,10,14,12,1,6,19,2,9,7,1,8,12,19,11,10,3,18,6,13,14,5,16,0,4,15,17,True
73,19,13,12,7,8,10,4,2,6,9,1,3,14,16,17,18,5,11,15,0,14,2,3,10,12,9,8,0,1,6,19,4,5,7,18,13,17,16,11,15,True
74,0,17,9,3,6,13,11,14,18,8,1,2,15,19,5,4,12,7,16,10,3,4,14,5,0,9,6,16,12,7,1,8,2,10,19,13,18,11,17,15,True
75,19,3,12,11,18,17,16,15,14,13,0,1,9,8,7,6,5,4,2,10,10,6,5,16,11,0,4,1,7,2,12,3,8,9,13,19,18,14,17,15,True
76,6,10,14,12,1,11,18,17,16,15,13,0,9,8,7,5,4,2,19,3,12,1,5,2,9,3,7,11,13,10,8,0,6,18,14,19,4,16,15,17,True
77,0,19,3,18,6,9,11,17,15,13,12,10,1,8,7,5,4,14,16,2,12,5,7,14,2,4,1,16,9,8,19,10,3,18,13,6,0,11,17,15,True
78,1,10,9,18,16,15,13,12,11,19,8,7,6,5,4,2,14,3,17,0,13,16,10,8,0,7,2,14,11,5,3,1,6,9,4,19,18,12,15,17,True
79,13,18,3,17,6,8,9,1,0,16,15,14,10,12,11,7,5,4,2,19,4,2,3,6,5,13,8,19,14,16,10,1,0,18,7,12,11,9,15,17,True
80,5,8,12,19,11,17,16,15,14,13,0,1,9,6,4,2,10,7,3,18,19,2,3,0,9,18,10,5,8,4,16,6,15,7,11,1,13,14,12,17,True
81,11,4,0,18,17,16,15,14,13,12,10,9,7,6,5,2,19,1,8,3,15,5,19,2,12,18,9,0,3,1,8,11,7,6,16,14,4,10,13,17,True
82,11,4,16,0,18,17,15,14,13,12,10,1,9,8,7,6,5,3,2,19,14,3,12,16,5,0,18,8,13,2,11,9,15,6,7,4,17,10,1,19,True
83,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,4,0,5,7,13,19,1,2,9,14,6,12,18,8,16,15,10,11,3,17,True
84,7,1,2,18,13,9,10,17,16,12,19,8,4,11,6,14,15,5,3,0,5,10,2,9,7,19,3,12,11,14,4,8,18,0,13,1,16,6,15,17,True
85,11,0,18,3,16,17,15,14,13,12,10,1,9,8,7,6,5,4,2,19,6,1,8,3,0,9,13,5,16,12,2,19,7,10,4,14,11,18,15,17,True
86,19,5,2,3,4,7,8,17,16,12,14,18,15,0,13,11,1,9,6,10,10,2,14,7,16,1,0,13,4,9,12,3,8,18,5,11,19,6,15,17,True
87,7,18,5,19,2,4,8,16,14,13,17,15,0,12,11,1,9,6,10,3,12,2,10,7,14,13,3,9,19,18,11,6,0,8,5,4,16,1,15,17,True
88,10,12,18,3,5,6,15,9,17,16,14,13,0,11,1,8,7,4,2,19,6,10,8,3,13,4,9,1,0,15,16,2,5,19,12,11,7,14,18,17,True
89,5,0,11,18,17,16,15,14,13,12,10,1,9,8,7,6,4,3,2,19,4,6,16,3,0,11,5,14,1,8,10,2,7,9,13,19,12,15,17,18,True
90,11,0,17,19,3,5,7,9,13,16,2,4,6,8,1,12,14,15,18,10,16,1,4,13,3,10,2,18,11,7,5,0,9,8,6,12,14,19,15,17,True
91,11,17,4,15,14,13,9,0,18,16,12,10,8,7,6,5,2,19,1,3,8,3,7,2,13,5,10,9,1,0,19,11,4,12,18,15,6,14,16,17,True
92,11,5,0,18,17,16,15,14,13,12,10,1,9,8,7,6,4,3,2,19,15,4,2,0,6,14,9,7,10,11,16,12,13,5,1,3,19,18,8,17,True
93,6,0,16,12,10,5,4,7,8,9,1,11,3,13,14,15,2,17,18,19,5,2,6,3,12,0,1,10,8,9,18,19,7,11,4,16,13,14,15,17,True
94,19,2,4,7,8,12,18,17,16,15,14,13,0,11,1,9,6,5,3,10,9,2,6,0,8,19,1,10,14,12,11,7,15,16,18,5,4,3,13,17,True
95,10,6,14,1,18,16,15,13,12,11,19,9,8,7,5,4,2,3,17,0,2,5,10,8,18,1,7,3,19,9,0,13,6,16,4,14,12,11,15,17,True
96,1,15,8,10,11,17,16,14,13,12,0,9,6,5,4,2,7,18,19,3,10,8,0,5,12,2,9,1,4,13,3,11,14,16,18,15,6,7,19,17,True
97,8,1,0,11,18,17,16,15,14,13,12,10,9,7,6,5,4,3,2,19,11,6,0,3,2,9,7,5,19,14,10,18,13,8,1,17,4,16,12,15,True
98,10,15,2,4,5,6,17,8,9,1,12,13,14,18,16,0,11,7,3,19,6,3,14,0,4,5,9,11,17,13,19,8,10,1,2,12,16,7,18,15,True
99,0,16,9,17,15,14,13,12,10,7,2,8,1,11,6,5,4,3,18,19,3,2,9,5,10,7,11,0,1,13,14,4,18,8,19,16,6,12,15,17,True
100,2,3,17,7,9,13,19,14,12,18,16,15,0,11,1,8,6,5,4,10,2,7,3,10,18,5,19,12,14,9,8,11,16,1,13,15,4,0,6,17,True
101,8,19,5,7,10,4,2,11,0,6,9,12,13,14,15,16,17,18,3,1,14,8,2,9,4,10,7,16,18,11,0,13,5,3,12,19,6,1,15,17,True
102,19,13,2,18,4,17,6,7,8,9,15,14,16,0,12,11,1,5,3,10,19,13,7,2,3,9,10,8,4,1,5,14,0,18,16,11,12,6,17,15,True
103,13,2,3,17,7,9,10,6,18,16,15,14,0,12,11,1,8,5,4,19,9,2,10,8,19,18,7,3,12,0,5,11,1,16,14,6,17,15,4,13,True
104,19,7,12,11,18,17,16,15,14,13,0,1,9,8,6,5,4,3,2,10,10,2,13,7,6,4,11,19,3,15,0,5,8,12,9,18,14,1,17,16,True
105,5,0,11,18,17,16,15,14,13,12,10,1,9,8,7,6,4,3,2,19,16,19,2,7,11,9,18,0,4,3,10,15,13,5,8,6,1,12,14,17,True
106,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,16,1,4,0,6,2,9,8,11,5,14,13,10,7,18,12,3,19,17,15,True
107,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,3,9,0,8,10,4,1,5,14,16,7,6,2,13,11,12,19,18,17,15,True
108,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,16,7,2,14,9,0,6,3,8,10,19,5,4,13,1,18,12,15,11,17,True
109,13,2,3,5,17,7,9,0,18,16,15,14,10,12,11,1,8,6,4,19,8,7,12,2,1,9,10,5,18,3,13,6,19,11,0,14,16,4,17,15,True
110,10,18,15,6,12,9,1,16,13,11,19,8,7,4,2,5,3,14,17,0,18,9,2,8,6,10,3,16,1,5,14,19,13,12,0,7,15,4,11,17,True
111,19,1,18,17,16,15,14,13,12,11,0,9,8,7,6,5,4,3,2,10,3,2,6,7,4,9,16,8,14,10,5,0,13,12,18,19,1,17,11,15,True
112,11,18,6,16,14,2,15,0,17,13,10,5,4,1,12,9,8,7,3,19,0,16,3,13,6,8,7,5,2,9,18,19,4,11,12,10,1,14,15,17,True
113,11,5,8,0,1,18,15,13,12,10,9,7,6,4,2,14,16,17,19,3,5,8,16,7,0,6,10,4,2,9,13,18,3,19,14,12,11,1,17,15,True
114,14,4,15,10,2,5,6,17,8,9,12,13,18,16,0,11,1,7,19,3,10,2,4,7,11,14,8,9,6,16,3,5,0,1,12,18,19,13,15,17,True
115,16,0,11,18,17,15,14,13,10,8,6,5,4,2,9,1,12,7,3,19,11,0,7,18,10,1,4,14,19,5,8,2,9,6,13,3,15,16,12,17,True
116,11,4,0,18,17,16,15,14,13,12,10,1,9,8,7,6,5,3,2,19,5,6,0,3,7,11,19,1,4,9,10,8,13,16,12,18,14,2,15,17,True
117,10,15,2,4,5,6,17,8,9,1,12,13,14,18,16,0,11,7,3,19,0,14,4,10,2,7,15,8,11,13,5,16,9,12,19,3,6,1,18,17,True
118,10,8,19,0,14,5,18,7,2,17,12,16,15,11,13,4,9,6,1,3,4,5,8,3,11,18,9,7,0,1,10,6,16,2,12,14,13,19,15,17,True
119,17,3,18,6,8,9,1,13,0,2,5,7,12,14,15,16,10,11,4,19,16,8,14,19,5,6,9,2,0,1,10,13,4,3,7,18,12,11,15,17,True
120,10,9,18,17,16,13,12,1,19,8,7,4,2,11,6,5,14,15,3,0,5,2,10,0,8,16,11,3,9,14,1,13,19,4,7,12,15,18,17,6,True
121,18,3,17,0,11,16,15,14,13,12,10,1,9,8,7,6,5,4,2,19,7,0,1,2,12,18,14,17,11,8,6,5,10,13,16,9,3,4,19,15,True
122,10,9,18,16,15,13,12,11,1,19,8,7,6,4,2,5,14,3,17,0,0,2,10,19,11,12,5,13,7,3,9,18,16,17,14,4,1,6,8,15,True
123,1,18,15,3,0,11,13,17,5,6,9,16,14,10,12,8,7,4,2,19,6,13,1,9,0,4,16,14,7,2,5,3,11,8,12,10,19,18,15,17,True
124,2,7,12,10,11,18,17,16,15,14,13,19,9,8,6,4,5,0,1,3,11,4,2,8,12,10,3,18,19,14,0,9,5,16,7,13,15,1,6,17,True
125,8,1,10,18,17,13,12,9,19,6,5,3,7,11,4,14,15,16,2,0,0,14,2,4,13,1,8,7,18,16,6,5,10,3,12,19,9,11,15,17,True
126,4,15,14,13,9,1,0,12,18,17,16,10,11,8,7,6,5,3,2,19,6,2,10,7,4,14,9,12,19,11,3,13,5,18,1,0,8,15,16,17,True
127,0,15,19,3,12,18,17,16,2,14,13,11,4,1,9,8,7,6,5,10,9,0,3,8,5,11,6,7,13,14,10,19,12,4,16,2,18,1,15,17,True
128,18,0,1,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,17,1,8,5,19,2,6,4,7,9,0,18,10,3,13,11,14,16,15,12,True
129,0,12,15,13,2,17,16,6,7,9,1,14,18,10,11,8,5,4,3,19,8,13,19,10,7,5,6,0,15,16,3,9,14,18,4,11,2,1,12,17,True
130,16,0,1,18,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,17,15,10,11,8,12,7,9,3,19,4,5,16,0,14,13,2,1,6,18,True
131,1,17,4,5,9,13,16,11,10,14,6,15,12,18,0,8,7,3,2,19,4,2,8,6,5,14,1,16,19,9,11,7,18,0,10,13,3,12,15,17,True
132,19,13,12,11,18,17,16,15,14,0,9,8,7,6,5,4,2,10,1,3,11,2,8,9,16,0,1,12,4,19,18,10,13,6,7,3,5,14,17,15,True
133,8,5,15,18,3,6,9,4,17,1,13,14,10,12,16,0,11,7,2,19,10,0,9,8,2,3,16,7,14,6,4,1,5,12,19,13,11,18,17,15,True
134,19,1,18,17,16,15,14,13,12,11,0,9,8,7,6,5,4,3,2,10,0,9,11,10,12,3,4,5,1,14,19,6,18,8,2,13,15,16,7,17,True
135,15,0,1,18,17,16,14,13,12,11,10,9,8,7,6,5,4,3,2,19,19,7,18,0,13,10,8,14,4,2,6,5,9,16,11,12,1,3,15,17,True
136,11,16,7,8,1,0,5,18,15,13,12,10,9,6,4,2,19,14,3,17,18,10,3,19,7,2,9,0,1,8,14,11,5,6,15,12,13,4,16,17,True
137,10,18,16,1,9,17,13,12,19,8,7,6,4,2,11,5,14,15,0,3,18,11,19,2,0,9,3,7,4,13,5,10,1,12,6,15,16,8,17,14,True
138,15,1,17,6,13,9,0,18,14,12,10,8,5,4,2,11,7,16,3,19,4,16,3,0,6,18,10,2,7,8,19,5,11,9,1,14,13,12,15,17,True
139,6,10,12,4,16,11,5,14,15,0,7,2,19,1,9,8,13,17,18,3,7,11,18,1,2,0,16,4,8,5,13,3,14,10,9,6,12,19,15,17,True
140,14,6,8,12,16,0,11,18,17,15,13,10,1,9,7,5,4,2,19,3,10,2,7,9,0,3,1,11,19,13,8,16,18,12,5,14,15,4,6,17,True
141,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,9,6,13,16,10,1,5,18,2,4,8,7,3,14,12,19,0,15,17,11,True
142,2,11,16,18,4,5,6,17,14,0,13,15,10,7,19,9,8,12,1,3,0,4,11,3,6,5,9,16,1,8,19,10,13,12,18,7,14,2,15,17,True
143,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,18,2,4,5,13,7,19,3,10,16,0,12,9,6,11,1,8,14,15,17,True
144,5,16,0,11,1,15,10,7,8,6,4,13,2,18,12,14,17,9,19,3,19,0,3,9,8,5,12,18,13,1,16,2,4,10,6,7,14,11,15,17,True
145,1,18,0,11,17,15,14,13,12,10,9,8,6,5,4,2,7,16,3,19,0,4,3,2,6,8,5,14,13,16,18,12,19,7,11,15,9,10,17,1,True
146,10,1,5,12,0,4,6,8,9,2,13,14,15,16,17,7,3,11,18,19,4,10,1,9,6,19,0,14,2,3,7,16,5,8,13,11,15,12,18,17,True
147,11,18,17,4,16,15,14,13,9,0,12,10,1,8,7,6,5,3,2,19,16,2,10,1,9,7,14,8,3,4,5,13,6,0,18,12,15,19,11,17,True
148,10,2,7,14,12,17,6,18,16,15,13,0,11,9,5,4,19,1,8,3,9,0,5,11,6,4,13,2,10,8,7,3,19,14,18,16,17,12,1,15,True
149,10,1,18,17,16,15,14,13,12,11,0,9,8,7,6,5,4,3,2,19,19,2,8,7,5,1,4,10,9,18,16,11,3,12,13,14,6,0,15,17,True
150,10,12,18,15,6,9,17,16,14,13,19,1,8,7,5,4,2,11,3,0,13,0,15,2,19,10,7,11,5,6,8,4,12,14,9,16,1,18,3,17,True
151,10,9,18,17,16,13,12,1,19,8,7,4,2,11,6,5,14,15,3,0,19,12,13,9,10,4,5,14,7,3,0,18,8,2,11,6,1,16,15,17,True
152,16,19,0,10,18,1,17,7,8,9,4,12,13,2,15,11,14,6,5,3,10,2,1,5,7,18,9,0,12,14,8,4,13,16,3,19,6,11,15,17,True
153,10,9,18,17,16,13,12,1,19,8,7,4,2,11,6,5,14,15,3,0,7,2,10,9,5,13,11,4,6,8,14,16,19,1,15,18,3,0,12,17,True
154,0,19,3,8,2,12,18,17,16,15,14,13,11,1,9,7,6,5,4,10,19,1,0,13,5,6,10,18,2,7,9,3,17,8,4,12,16,14,11,15,True
155,10,15,2,4,5,6,17,8,9,1,12,13,14,18,16,0,11,7,3,19,17,19,2,9,11,13,7,8,1,14,10,5,4,15,3,0,12,6,18,16,True
156,13,9,1,0,11,18,17,16,15,14,12,10,8,7,6,5,4,3,2,19,13,2,10,1,5,3,19,11,7,0,18,4,9,16,14,12,8,6,17,15,True
157,10,9,18,17,16,13,12,1,19,8,7,4,2,11,6,5,14,15,3,0,12,1,2,8,13,14,10,7,19,18,5,4,11,0,9,16,3,6,15,17,True
158,8,0,11,18,17,16,15,14,13,12,10,1,9,7,6,5,4,3,2,19,0,2,1,19,5,18,7,10,12,9,8,14,11,3,4,6,13,15,16,17,True
159,19,18,1,17,16,15,14,13,12,11,0,9,8,7,6,5,4,3,2,10,6,19,1,5,8,2,12,10,4,0,13,16,9,7,11,15,14,3,18,17,True
